COUNTRY,Country,Value
ALB,Albania,0
DZA,Algeria,534.514
AGO,Angola,386.509
ARG,Argentina,384.193
ARM,Armenia,163.485
AUS,Australia,754.836
AUT,Austria,163.841
AZE,Azerbaijan,487.34
BHR,Bahrain,717.549
BGD,Bangladesh,567.227
BLR,Belarus,386.962
BEL,Belgium,225.813
BEN,Benin,675.18
BOL,Bolivia,395.297
BIH,Bosnia and Herzegovina,900.936
BWA,Botswana,1285.587
BRA,Brazil,156.64
BRN,Brunei Darussalam,566.431
BGR,Bulgaria,497.766
KHM,Cambodia,568.926
CMR,Cameroon,171.196
CAN,Canada,151.222
CHL,Chile,438.272
CHINAREG,"China (P.R. of China and Hong Kong, China)",657.188
TWN,Chinese Taipei,583.15
COL,Colombia,200.305
COG,Congo,273.919
CRI,Costa Rica,6.625
CIV,Côte d'Ivoire,435.226
HRV,Croatia,232.729
CUB,Cuba,770.47
CUW,Curaçao,689.139
CYP,Cyprus,649.096
CZE,Czech Republic,521.22
PRK,Dem. People's Republic of Korea,262.578
COD,Democratic Republic of Congo,1.336
DNK,Denmark,174.21
DOM,Dominican Republic,599.315
ECU,Ecuador,335.088
EGY,Egypt,472.428
SLV,El Salvador,265.367
ERI,Eritrea,859.388
EST,Estonia,1025.509
ETH,Ethiopia,0.307
FIN,Finland,106.814
FRA,France,46.254
MKD,FYR of Macedonia,692.008
GAB,Gabon,411.459
GEO,Georgia,117.66
DEU,Germany,450.119
GHA,Ghana,285.142
GIB,Gibraltar,762.461
GRC,Greece,584.268
GTM,Guatemala,425.596
HTI,Haiti,910.544
HND,Honduras,385.894
HKG,"Hong Kong, China",734.357
HUN,Hungary,274.041
ISL,Iceland,0.168
IND,India,771.314
IDN,Indonesia,732.583
IRQ,Iraq,1140.674
IRL,Ireland,417.552
IRN,Islamic Republic of Iran,550.965
ISR,Israel,607.217
ITA,Italy,342.364
JAM,Jamaica,644.092
JPN,Japan,540.076
JOR,Jordan,588.17
KAZ,Kazakhstan,415.693
KEN,Kenya,113.502
KOR,Korea,526.449
KOSOVO,Kosovo,1053.277
KWT,Kuwait,624.748
KGZ,Kyrgyzstan,92.458
LVA,Latvia,145.255
LBN,Lebanon,701.971
LBY,Libya,659.533
LTU,Lithuania,185.687
LUX,Luxembourg,281.18
MYS,Malaysia,687.042
MLT,Malta,651.688
MAURITIUS,Mauritius,797.835
MLI,Mali,770.159
MEX,Mexico,459.632
ASME,Middle East,659.477
MDA,Moldova,496.594
MNG,Mongolia,1249.309
MNE,Montenegro,517.704
MAR,Morocco,701.69
MOZ,Mozambique,64.7
MMR,Myanmar,304.36
NAM,Namibia,25.305
NPL,Nepal,0
NLD,Netherlands,488.829
NZL,New Zealand,124.107
NIC,Nicaragua,358.08
NER,Niger,988.072
NGA,Nigeria,412.915
NOR,Norway,8.735
OMN,Oman,509.074
OTHERAFRIC,Other Africa,455.861
OTHERLATIN,Other non-OECD Americas,
OTHERASIA,Other non-OECD Asia,367.347
PAK,Pakistan,410.451
PAN,Panama,312.917
PRY,Paraguay,0.057
CHN,People's Republic of China,656.682
PER,Peru,244.311
PHL,Philippines,614.288
POL,Poland,730.214
PRT,Portugal,346.492
QAT,Qatar,486.302
ROU,Romania,340.092
RUS,Russian Federation,394.992
SAU,Saudi Arabia,726.218
SEN,Senegal,616.533
SRB,Serbia,757.211
SGP,Singapore,435.115
SVK,Slovak Republic,168.941
SVN,Slovenia,264.552
ZAF,South Africa,990.337
SSD,South Sudan,855.225
ESP,Spain,292.943
LKA,Sri Lanka,513.66
SDN,Sudan,302.863
SUR,Suriname,396.04
SWE,Sweden,10.78
CHE,Switzerland,24.182
SYR,Syrian Arab Republic,623.818
TJK,Tajikistan,7.618
TZA,Tanzania,439.719
THA,Thailand,510.777
TGO,Togo,237.1
TTO,Trinidad and Tobago,583.924
TUN,Tunisia,468.629
TUR,Turkey,441.134
TKM,Turkmenistan,892.844
UKR,Ukraine,407.258
ARE,United Arab Emirates,567.928
GBR,United Kingdom,348.718
USA,United States,455.615
URY,Uruguay,51.406
UZB,Uzbekistan,550.844
VEN,Venezuela,282.29
VNM,Viet Nam,479.766
YEM,Yemen,733.897
ZMB,Zambia,21.426
ZWE,Zimbabwe,734.184
