"","scenario","id","twh"
"1","kwh_S0","Baseline",21.0899057619922
"2","kwh_S0","SSP245",21.6818813929844
"3","kwh_S0","SSP370",21.7377481849609
"4","kwh_S1","Baseline",37.4379379098125
"5","kwh_S1","SSP245",42.947607475
"6","kwh_S1","SSP370",43.326614305375
"7","kwh_S2","Baseline",71.24422772325
"8","kwh_S2","SSP245",81.6793749955
"9","kwh_S2","SSP370",82.367880778375
"10","kwh_S3","Baseline",142.6451633755
"11","kwh_S3","SSP245",161.022199039
"12","kwh_S3","SSP370",162.3258930505
"13","kwh_S4","Baseline",2.80380189457422
"14","kwh_S4","SSP245",2.83767947357422
"15","kwh_S4","SSP370",2.83767947357422
